estate,estate_eng,estate_chi,age_5,t_pop,elderly_share,elder_dominant,time_label
61622,South Horizons,海怡半島,4823,29180,0.165284441,FALSE,non-morning
20115,South Wave Court,南濤閣,910,2939,0.309629126,TRUE,morning
62195,St Martin,雲滙,176,2595,0.067822736,FALSE,non-morning
20116,Sui Wo Court,穗禾苑,2083,8607,0.242012316,TRUE,morning
61651,Summit Terrace,翠豐臺,241,3370,0.071513353,FALSE,non-morning
10143,Sun Chui Estate,新翠邨,5448,17081,0.318950881,TRUE,morning
20117,Sun Hing Garden,新興花園,698,3874,0.180175529,FALSE,non-morning
10144,Sun Tin Wai Estate,新田圍邨,2881,8885,0.324254361,TRUE,morning
61660,Sun Tuen Mun Centre,新屯門中心,1429,9216,0.155056424,FALSE,non-morning
61662,Sun Yuen Long Centre,新元朗中心,369,2562,0.144028103,FALSE,non-morning
61668,Sunshine City,新港城,1688,11742,0.143757452,FALSE,non-morning
61678,Symphony Bay,帝琴灣,411,3377,0.121705656,FALSE,non-morning
61687,Tai Hang Sai Estate,大坑西邨,793,2567,0.308920919,TRUE,morning
10145,Tai Hang Tung Estate,大坑東邨,1470,4696,0.313032368,TRUE,morning
10146,Tai Hing Estate,大興邨,5088,18698,0.272114665,TRUE,morning
61690,Tai Hing Gardens,大興花園,1223,9732,0.1256679,FALSE,non-morning
62146,Tai On Building,太安樓,1205,4561,0.264196448,TRUE,morning
10147,Tai Ping Estate,太平邨,827,3988,0.207372116,TRUE,morning
61699,Tai Po Centre,大埔中心,1339,9375,0.142826667,FALSE,non-morning
20120,Tai Po Plaza,大埔廣場,788,3655,0.215595075,TRUE,morning
10148,Tai Wo Estate,太和邨,4453,18439,0.241498997,TRUE,morning
10149,Tai Wo Hau Estate,大窩口邨,4757,20124,0.236384417,TRUE,morning
10150,Tai Yuen Estate,大元邨,3559,13614,0.261422066,TRUE,morning
61716,Taikoo Shing,太古城,7824,34799,0.224834047,TRUE,morning
61718,Tak Bo Garden,得寶花園,490,3476,0.140966628,FALSE,non-morning
10214,Tak Long Estate,德朗邨,3227,18720,0.172382479,FALSE,non-morning
10151,Tak Tin Estate,德田邨,3968,13612,0.291507493,TRUE,morning
61730,Telford Gardens,德福花園,2004,13142,0.152488206,FALSE,non-morning
62170,The Beaumount,峻瀅,704,7361,0.095639179,FALSE,non-morning
61742,The Belcher's,寶翠園,583,7265,0.080247763,FALSE,non-morning
61765,The Grandiose,君傲灣,366,3773,0.097005036,FALSE,non-morning
62196,The Horizon,海日灣,247,3232,0.076423267,FALSE,non-morning
61776,The Latitude,譽‧港灣,246,3264,0.075367647,FALSE,non-morning
61780,The Long Beach,浪澄灣,319,4472,0.071332737,FALSE,non-morning
61782,The Merton,泓都,413,2474,0.166936136,FALSE,non-morning
61788,The Pacifica,宇晴軒,357,5604,0.063704497,FALSE,non-morning
61789,The Palazzo,御龍山,407,3919,0.103853024,FALSE,non-morning
61792,The Parcville,采葉庭,511,4254,0.120122238,FALSE,non-morning
40016,The Pinnacle,叠翠軒,314,4293,0.073142325,FALSE,non-morning
62175,The Reach,尚悅,395,5538,0.071325388,FALSE,non-morning
62198,The Regent,天鑽,144,2888,0.049861496,FALSE,non-morning
61801,The Sherwood,豫豐花園,401,3778,0.106140815,FALSE,non-morning
61806,The Trend Plaza,時代廣場,506,2834,0.178546224,FALSE,non-morning
62178,The Visionary,昇薈,178,3575,0.04979021,FALSE,non-morning
61812,The Waterfront,漾日居,421,4002,0.105197401,FALSE,non-morning
62179,The Wings,天晉,818,10173,0.080408926,FALSE,non-morning
61817,Tierra Verde,盈翠半島,1241,9057,0.137021089,FALSE,non-morning
10152,Tin Chak Estate,天澤邨,1707,11386,0.149920956,FALSE,non-morning
10153,Tin Ching Estate,天晴邨,1835,15695,0.116916215,FALSE,non-morning
20122,Tin Chung Court,天頌苑,2126,17214,0.123504125,FALSE,non-morning
20123,Tin Fu Court,天富苑,2033,14634,0.138923056,FALSE,non-morning
10154,Tin Heng Estate,天恒邨,1955,21016,0.093024362,FALSE,non-morning
