name,address,type,lat,lon
Recycling Bins at Public Place,At side of San Wai (Ha Tsuen) RCP (YL－128),Basic,22.450595,113.9906
Recycling Bins at Public Place,"Yeung Hau Temple, Ping Shan",Basic,22.446026,114.007914
Recycling Bins at Public Place,"RCP YL-94, Tong Fong Tsuen, Ping Shan",Basic,22.443885,114.006697
Recycling Bins at Public Place,"RCP YL-114, Tan Kwai Yuen",Basic,22.428623,113.996446
Recycling Bins at Public Place,"Outside San Sang Tsuen Public Toilet, Yuen Long",Basic,22.439373,113.991597
Recycling Bins at Public Place,At side of Wong Uk Tsuen RCP (YL-11),Basic,22.446389,114.039444
Recycling Bins at Public Place,At side of Tai Tong Tsuen (roundabout) RCP (YL-8),Basic,22.41805,114.02545
Recycling Bins at Public Place,At side of Tin Lui Tsuen RCP (YL-20),Basic,22.43243,114.02418
Recycling Bins at Public Place,"At side of Shui Chiu San Tsuen inside RCP (YL-38), Shap Pak Heung",Basic,22.425633,114.027442
Recycling Bins at Public Place,"At side of Notice Board near Tai Shui Ha Public Toilet (YL-24), Tai Shui Ha Road East",Basic,22.42916,114.03388
Recycling Bins at Public Place,At side of Fung Chi Tsuen RCP,Basic,22.447797,114.020611
Recycling Bins at Public Place,"Kam Sheung Road RCP (YL-57), Pat Heung",Basic,22.42845,114.0844
Recycling Bins at Public Place,"Kam Sheung Road, at side of Wing Hing Wai bin site, Pat Heung",Basic,22.43008,114.09412
Recycling Bins at Public Place,Tai Shu Ha Road East behind Lamp post FB0599,Basic,22.42565,114.03745
Recycling Bins at Public Place,"Kam Tin Hang Tau Bar RCP (YL-19) at Hang Tau Bar, Kam Tin",Basic,22.423912,114.076908
Recycling Bins at Public Place,Shui Chiu Lo Wai RCP (YL-22) at Shui Chiu Lo Wai,Basic,22.42541,114.03164
Recycling Bins at Public Place,"Nam Hang Pai RCP 2 (YL-26) at Nam Hang Pai RCP 2, outside Tai Tong Garden",Basic,22.422779,114.031237
Recycling Bins at Public Place,Shui Chiu San Tsuen RCP (YL-27),Basic,22.422266,114.02863
Recycling Bins at Public Place,Shui Tau Tsuen RCP 2 (YL-28) at Shui Tau Tsuen RCP 2,Basic,22.445774,114.062692
Recycling Bins at Public Place,Lui Kung Tin RCP (YL-31) at Lui Kung Tin,Basic,22.426925,114.104813
Recycling Bins at Public Place,"Tin Lui Tsuen RCP (YL-32) at Tin Lui Tsuen, Tai Tong Road",Basic,22.43157,114.02853
Recycling Bins at Public Place,Sai Bin Wai RCP (YL-49) at Sai Bin Wai,Basic,22.447335,114.031154
Recycling Bins at Public Place,"Sheung Tsuen Ku Miu RCP 1 (YL-53) at Sheung Tsuen Ku Miu RCP 1, at side of A/P 54",Basic,22.43274,114.10105
Recycling Bins at Public Place,Ta Shek Wu RCP (YL-151) at Ta Shek Wu,Basic,22.463396,114.107283
Recycling Bins at Public Place,Lo Uk Tsuen RCP (YL-59) at Lo Uk Tsuen,Basic,22.43924,114.093392
Recycling Bins at Public Place,Sheung Che Tsuen RCP (YL-62) at Sheung Che Tsuen,Basic,22.44858,114.096943
Recycling Bins at Public Place,"Shui Kan Shek Tsuen RCP (YL-64) at Shui Kan Shek Tsuen, Fan Kam Road",Basic,22.45225,114.09847
Recycling Bins at Public Place,Wing Ning Lee (entrance) RCP (YL-68) at Wing Ning Lee (entrance),Basic,22.44298,114.09274
Recycling Bins at Public Place,Srithai Feed Co. RCP (YL-69) opposite to Srithai Feed Co.,Basic,22.44197,114.09048
Recycling Bins at Public Place,Ko Po Tsuen RCP (YL-70) at Ko Po Tsuen,Basic,22.441432,114.056781
Recycling Bins at Public Place,Ng Ka Tsuen (inside) RCP (YL-71) at Ng Ka Tsuen (inside),Basic,22.43807,114.06995
Recycling Bins at Public Place,Ng Ka Tsuen (outside) RCP (YL-72),Basic,22.43538,114.07
Recycling Bins at Public Place,Kam Chin Wai RCP (YL-73) at Kam Chin Wai,Basic,22.43363,114.07292
Recycling Bins at Public Place,Yuen Kong Tsuen RCP (YL-74) at Yuen Kong Tsuen,Basic,22.425115,114.077402
Recycling Bins at Public Place,Wang Chau Tung Tau Wai Refuse Collection PointWang Chau Tung Tau Wai Refuse Collection Point (YL-76),Basic,22.45363,114.02864
Recycling Bins at Public Place,Lin Fa Tei Tsuen RCP (YL-79) at Lin Fa Tei Tsuen,Basic,22.429097,114.087394
Recycling Bins at Public Place,Kam Sheung Road (Opposite to the lamp post U8464),Basic,22.43019,114.09908
Recycling Bins at Public Place,Pat Heung Police Station RCp (YL-85) opposite to Pat Heung Police Station,Basic,22.44088,114.08984
Recycling Bins at Public Place,San Hing Tsuen RCP (YL-90) at San Hing Tsuen,Basic,22.46441,113.98649
Recycling Bins at Public Place,Shing Uk Tsuen RCP (YL-98),Basic,22.46397,114.01938
Recycling Bins at Public Place,"At side of bin site at Lo Uk Tsuen, Ping Ha Road",Basic,22.451719,113.994916
Recycling Bins at Public Place,Hang Tau Tsuen RCP (YL-186) at Hang Tau Tsuen (Near V6298),Basic,22.44648,114.00901
Recycling Bins at Public Place,Hop Shing Wai RCP (YL-111) at Hop Shing Wai,Basic,22.49842,114.059779
Recycling Bins at Public Place,Sha Chau Lane RCP (YL-112) at Sha Chau Lane,Basic,22.444987,113.99604
Recycling Bins at Public Place,Chiu Kiu Fa Pau Wui RCP (YL-113) at Chiu Kiu Fa Pau Wui,Basic,22.431118,113.99929
Recycling Bins at Public Place,Shui Bin Wai RCP (YL-119) at Shui Bin Wai,Basic,22.444508,114.01905
Recycling Bins at Public Place,Ha Pak Nai Tsuen RCP (YL-124) at Ha Pak Nai Tsuen,Basic,22.430517,113.945271
Recycling Bins at Public Place,Ha Wan Tsuen RCP (YL-125) at Ha Wan Tsuen,Basic,22.514267,114.073175
Recycling Bins at Public Place,Shek Kong Wai RCP (YL-127) at Shek Kong Wai,Basic,22.44802,113.992289
Recycling Bins at Public Place,Ngau Tam Mei West (near 500 wooden hut) RCP (YL-140) at Ngau Tam Mei West near 500 wooden hut,Basic,22.473043,114.064494
Recycling Bins at Public Place,Tung Chun Wai RCP (YL-142) at Tung Chun Wai,Basic,22.501082,114.076895
Recycling Bins at Public Place,Ngau Tam Mei East RCP (YL-147) at Ngau Tam Mei East,Basic,22.477284,114.071048
Recycling Bins at Public Place,"Ha Chuk Yuen Tsuen (Chi Lin Aged Home) RCP (YL-150) at Ha Chuk Yuen Tsuen, (Opposite to Chi Lin Aged Home)",Basic,22.476118,114.056569
Recycling Bins at Public Place,Mo Fan Heung RCP (YL-152) at Mo Fan Heung,Basic,22.459893,114.053049
Recycling Bins at Public Place,"Lo Ma Chau RCP (YL-155) at Lo Ma Chau, San Tin",Basic,22.507284,114.080624
Recycling Bins at Public Place,Hung To Pak Shek Au (1) RCP (YL-156) at Hung To Pak Shek Au (1),Basic,22.504776,114.089379
Recycling Bins at Public Place,Shek Wu Tong V.M.O RCP (YL-166) at Shek Wu Tong V.M.O,Basic,22.427284,114.072847
Recycling Bins at Public Place,Next to Bor Tei Public Toilet,Basic,22.43893,114.06763
Recycling Bins at Public Place,Castle Peak Road near San Tin Post Office RCP (YL-176) at Castle Peak Road near San Tin Post Office,Basic,22.49908,114.07858
Recycling Bins at Public Place,Shek Kong V.M.O. RCP (YL-177) at Shek Kong V.M.O.,Basic,22.441593,114.085459
Recycling Bins at Public Place,Wah Shing Tsuen RCP (YL-181) at Wah Shing Tsuen,Basic,22.459727,114.056108
Recycling Bins at Public Place,"Sheung Tsuen Ku Miu RCP 2, (YL-188) at Sheung Tsuen Ku Miu RCP 2, aside A/P 55, Chung Uk Tsuen",Basic,22.43185,114.09961
